ID	Title	Description	Range	Links
AHDL	High-Density Lipoprotein	A type of cholesterol	40 - 60 mg/dL	
TBI	Total Bilirubin	Bilirubin levels are pigments formed from the breakdown of red blood cells which is excreted by the liver.	0.2 - 1 mg/dL	
TP	Total Protein	Total protein count and high counts may be seen in some diseases with an abnormal immune response, some tumors or dehydration.	6.4 - 8.2 g/dL	
GLOB	Globulin	Globulin is made up of different proteins called alpha, beta, and gamma types. Some globulins are made by the liver.	2 - 3.5 g/dL	
ALPI	Alkaline Phosphatase	Alkaline phosphates are enzymes found in the liver	46 - 116 units/L	
TGL	Truglycerides	Triglycerides are fatty substances in the blood (compare to CHOL)	30 - 150 mg/dL	
CHOL	Cholesterol	Cholesterol levels measure a patient’s risk of coronary heart disease	0 - 200 mg/dL	
AST	Aspartate Aminotransferase	Aspartate amino transferase is an enzyme found in the heart and liver. 	15 - 37 units/L	
ALTI	Alanine Aminotransferase	Alanine amino transferase (also SGPT) is an enzyme found mostly in the cells of the liver and kidney. 	12 - 78 units/L	
ALB	Albumin	Albumin is a small protein produced in the liver, the major protein in serum.	3.4 - 5 g/dL	
A/G	Albumin/Globulin Ratio			
GLUC	Glucose	Glucose is the primary energy source for the body’s cells	74 - 106 mg/dL	
BUN	Blood Urea Nitrogen	Blood urea nitrogen is the waste product filtered out of the blood by the kidneys	7 - 18 mg/dL	
CA	Calcium	One of the most important minerals in the body- essential for proper functioning of muscles, nerves, and the heart.	8.5 - 10.1 mg/dL	
CRE2	Creatinine	Creatinine is waste product produced in the muscles; it is filtered out of the blood by the kidneys so blood levels are a good indication of how well the kidneys are working	0.6 - 1.3 mg/dL	
BN/CR	Blood Urea Nitrogen/Creatinine Ratio	 (see information about BN and CRE2)		
